epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.8557,1.3221,1.34543,1.15223,0.86832,0.79588,0.88333,0.52906,1.2087,0.83437,1.082,0.000473319,0.000473319,0.000473319
2,66.5484,1.29554,0.83946,1.14455,0.9002,0.85125,0.89762,0.53883,1.23342,0.73087,1.09863,0.000930849,0.000930849,0.000930849
3,98.2738,1.29843,0.82015,1.14362,0.82008,0.80002,0.8779,0.53252,1.24141,1.07472,1.11411,0.00136952,0.00136952,0.00136952
4,129.71,1.28879,0.80229,1.15289,0.89702,0.86939,0.90968,0.55341,1.23098,0.75213,1.09898,0.00134412,0.00134412,0.00134412
5,161.126,1.23798,0.75852,1.12191,0.9219,0.87458,0.91916,0.58656,1.1542,0.6198,1.05176,0.00131582,0.00131582,0.00131582
6,192.299,1.20147,0.72283,1.1039,0.91969,0.89464,0.92896,0.60328,1.11574,0.60493,1.03825,0.00128753,0.00128753,0.00128753
7,223.539,1.18624,0.6923,1.09664,0.90956,0.89399,0.92814,0.60983,1.1181,0.60588,1.03914,0.00125923,0.00125923,0.00125923
8,254.973,1.18886,0.66696,1.10118,0.90294,0.90275,0.92926,0.60361,1.15196,0.58318,1.04951,0.00123094,0.00123094,0.00123094
9,286.099,1.14631,0.64525,1.07352,0.92339,0.89474,0.92486,0.59629,1.11026,0.57341,1.03363,0.00120265,0.00120265,0.00120265
10,317.331,1.13364,0.63539,1.06585,0.93262,0.9106,0.94571,0.61986,1.10731,0.54484,1.01977,0.00117435,0.00117435,0.00117435
11,348.54,1.11646,0.63114,1.06109,0.91104,0.90557,0.93477,0.62055,1.07406,0.53719,1.01363,0.00114606,0.00114606,0.00114606
12,379.847,1.10544,0.61731,1.06274,0.9311,0.90234,0.94179,0.63003,1.0675,0.53718,1.00737,0.00111776,0.00111776,0.00111776
13,411.087,1.08494,0.60896,1.05168,0.92606,0.9164,0.94204,0.60744,1.09326,0.53314,1.02016,0.00108947,0.00108947,0.00108947
14,442.214,1.05269,0.58818,1.04057,0.92607,0.91327,0.94251,0.63296,1.05134,0.5074,1.00831,0.00106118,0.00106118,0.00106118
15,473.487,1.08863,0.59445,1.0444,0.93061,0.8938,0.94122,0.6401,1.02375,0.51172,0.99793,0.00103288,0.00103288,0.00103288
16,504.655,1.04235,0.56911,1.03007,0.94052,0.90912,0.94651,0.64217,1.02822,0.49526,0.99567,0.00100459,0.00100459,0.00100459
